"num"	"name"	"lat"	"long"	"keep"
0	"A5"	49.7635002	-0.291384	1
1	"DA"	49.6842995	0.0314501	1
2	"Saint-Marcouf"	49.4938011	-1.15479	1
3	" Roseberry"	49.3848991	-0.608268	1
4	"Bell Essart de Langrune"	49.3764	-0.355559	1
5	"Luc"	49.3456993	-0.307225	1
6	"Ilot reposoir"	49.4289017	0.132844	0
7	"Seine"	49.4616013	0.0100776	1
8	" LHA"	49.5224991	-0.164334	1
9	" Cussy"	49.4915009	-0.720267	1
10	"Courselles"	49.3544998	-0.462151	1
11	" Bombardons"	49.3611984	-0.648961	1
12	" Harpagas"	49.3692017	-0.626826	1
13	"LSTOuistreham"	49.3404007	-0.246754	1
14	" Broadsword"	49.4221992	-0.883518	1
15	" Omaha beach"	49.3863983	-0.865897	1
16	"Est du Cardonnet"	49.4477005	-1.01896	1
17	"Norfolk"	49.4810982	-1.06111	1
18	"Iso C-I"	49.424099	-1.11836	1
19	" Conchyl Ouest"	49.3538017	-0.550317	0
20	"Conchyl Est"	49.3540001	-0.529227	0
21	"Tatihou"	49.5727997	-1.2314399	1
22	"Pointe de Saire"	49.6128998	-1.21665	1
23	"Quineville"	49.5298996	-1.20646	1
24	" Les Equets"	49.7271996	-1.30714	1
25	"LFI"	49.3194008	-0.097934	1
26	"Semoy"	49.402401	0.039227	0
27	"Nord Grandcamp-Maisy"	49.4119987	-1.02872	1
28	"Basse Bréfort"	49.7290001	-1.85323	1
29	"La Plate"	49.7330017	-1.92922	1
30	"12 M Omaha"	49.5816002	-0.903496	1
31	"Le Parfond"	49.4557991	-0.265562	1
32	"FORT NORFOCK"	49.4392014	-0.465261	1
33	"Epave 6.5 M arromanches"	49.4474983	-0.610428	1
34	"Basse Renier"	49.7481003	-1.36917	1
35	"La Pierre Noire"	49.7258987	-1.48648	0
36	"Epave etretat"	49.732399	0.194003	1
37	"LAWFORD (HMS)"	49.4303017	-0.39605	1
38	"HMS PYLADES"	49.428299	-0.257783	1
39	"SVENNER"	49.4616013	-0.25165	1
40	"NORTHGATE"	49.5046997	-0.235217	1
41	"CHANT 6"	49.4954987	-0.33965	1
42	"Est Barsac"	49.5848999	-0.4865	1
43	"Epave nord Ouistreham"	49.3744011	-0.246717	1
44	"BARSAC"	49.5704994	-0.546521	1
